kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,exoplanet
12168280,0,0,0,0,229.957537,0.00673,-0.00673,326.0184,0.0151,-0.0151,1.175,74.31,-4.203,7.59,1.0,-1.0,400.0,49.2,-49.2,43.78,7.77,-10.7,444.0,9.22,4.18,-4.21,10.2,1.0,6419.0,77.0,-83.0,3.978,0.195,-0.12,2.057,0.365,-0.501,295.97794,50.771481,10.505,0
9592621,0,0,0,0,191.03728,0.0132,-0.0132,153.9107,0.0648,-0.0648,0.091,0.456,-0.091,3.595,0.989,-0.989,1610.0,502.0,-502.0,3.54,0.84,-0.36,286.0,1.58,1.18,-0.46,7.0,1.0,5440.0,180.0,-180.0,4.497,0.055,-0.165,0.901,0.213,-0.091,293.6839,46.265541,16.652,0
9159288,0,0,0,0,66.67305,0.0124,-0.0124,161.59,0.17600000000000002,-0.17600000000000002,0.415,0.049,-0.415,6.381,0.804,-0.804,472.0,49.1,-49.1,2.64,0.9,-0.3,542.0,20.35,19.92,-6.7,9.6,1.0,6592.0,163.0,-256.0,4.369,0.07200000000000001,-0.217,1.19,0.404,-0.135,293.68979,45.549332,14.634,0
9011955,0,0,0,0,367.0896,0.0228,-0.0228,178.6744,0.0422,-0.0422,1.242,72.99,-3.631,28.02,1.4,-1.4,2090.0,93.5,-93.5,35.3,12.3,-4.11,281.0,1.48,1.53,-0.5,27.7,1.0,6268.0,173.0,-260.0,4.4289999999999985,0.058,-0.232,1.1,0.384,-0.128,287.86737,45.321289,15.267,0
8673511,0,0,0,0,0.7572612809999999,3.77e-06,-3.77e-06,131.62153999999998,0.00472,-0.00472,0.322,0.19,-0.321,0.905,0.298,-0.298,36.5,5.6,-5.6,0.58,0.17,-0.06,1908.0,3119.75,2686.06,-873.02,10.2,1.0,5651.0,154.0,-171.0,4.479,0.062,-0.2,0.953,0.279,-0.093,284.29565,44.895859,14.024,0
8637903,0,0,0,0,385.858683,0.00526,-0.00526,343.64827,0.00907,-0.00907,0.877,0.091,-0.63,12.071,0.331,-0.331,548.0,29.5,-29.5,3.23,1.0,-0.41,300.0,1.92,1.69,-0.63,21.2,1.0,6551.0,149.0,-216.0,4.367,0.065,-0.195,1.195,0.3720000000000001,-0.149,296.40787,44.77364,13.993,1
8329346,0,0,0,0,389.875816,0.00719,-0.00719,273.6498,0.0142,-0.0142,0.5760000000000001,0.006,-0.477,3.3360000000000003,0.422,-0.422,2130.0,296.0,-296.0,3.76,0.63,-0.29,207.0,0.44,0.24,-0.11,8.9,1.0,5289.0,185.0,-167.0,4.588,0.028,-0.119,0.79,0.133,-0.061,300.69672,44.298409,15.953,0
8022520,0,0,0,0,432.42787,0.0374,-0.0374,361.4078,0.0394,-0.0394,0.716,0.277,-0.491,19.63,3.4,-3.4,110.0,70.4,-70.4,1.14,0.37,-0.13,259.0,1.07,1.04,-0.32,6.0,1.0,6263.0,169.0,-188.0,4.46,0.054000000000000006,-0.21600000000000005,1.009,0.335,-0.112,289.66574,43.879459,13.814,0
7832787,0,0,0,0,338.0069200000001,0.0124,-0.0124,262.4,0.0248,-0.0248,0.184,0.246,-0.184,16.745,0.675,-0.675,544.0,41.1,-41.1,2.09,0.6,-0.21,249.0,0.91,0.77,-0.25,15.3,1.0,5741.0,153.0,-170.0,4.502,0.062,-0.188,0.898,0.26,-0.087,295.22299,43.590439,15.023,0
6356506,0,0,0,0,280.55544,0.0253,-0.0253,308.0323,0.0404,-0.0404,0.031,0.419,-0.031,12.757,0.723,-0.723,401.0,48.4,-48.4,2.17,0.72,-0.24,308.0,2.13,2.11,-0.69,9.3,1.0,6292.0,174.0,-240.0,4.426,0.054000000000000006,-0.21600000000000005,1.078,0.361,-0.12,289.32593,41.74993900000001,15.16,0
5956171,0,0,0,0,402.27493,0.0227,-0.0227,369.6734,0.0361,-0.0361,0.6679999999999999,0.061,-0.479,15.67,1.6,-1.6,295.0,34.2,-34.2,1.73,0.52,-0.18,262.0,1.11,1.0,-0.34,11.1,1.0,6299.0,170.0,-226.0,4.4860000000000015,0.054000000000000006,-0.21600000000000005,0.95,0.29,-0.097,290.4519,41.22551,14.619000000000002,0
5683219,0,0,0,0,9.4609418,0.000272,-0.000272,138.7888,0.0239,-0.0239,0.161,0.3,-0.161,4.888,0.7709999999999999,-0.7709999999999999,47.5,7.2,-7.2,0.54,0.1,-0.07,767.0,81.83,45.22,-26.03,7.9,1.0,5485.0,163.0,-147.0,4.5,0.117,-0.13,0.7879999999999999,0.138,-0.101,282.96545,40.922619,13.413,0
5098334,0,0,0,0,400.11482,0.0499,-0.0499,316.2642,0.0343,-0.0343,0.066,0.531,-0.066,12.37,3.4,-3.4,113.0,75.0,-75.0,0.95,0.13,-0.04,226.0,0.62,0.22,-0.08,6.7,1.0,5547.0,74.0,-83.0,4.521,0.019,-0.11,0.911,0.12,-0.038,291.52951,40.252918,13.521,0
