rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,-0.076,2458493.384,2.17153,1.937,720,5.5648,6563.75,2507,9.604,485.735,10249,4.19,2.17,3/26/2019 13:55,5/20/2020 16:00
2,1001.01,1001,88863718,88863718.01,1,,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,-15.555,2458492.839,1.93217,3.447,980,5.80204,5753,2426,9.42344,295.862,7070,4.03,2.01,3/26/2019 13:55,5/20/2020 16:00
3,1002.01,1002,124709665,124709665,1,,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,-2.249,2458492.602,1.86722,1.926,1630,51.1665,38023.4,3890,9.299501,943.109,8924,,5.73,3/26/2019 13:55,5/20/2020 16:00
4,1003.01,1003,106997505,106997505,1,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.64,2458493.396,2.74323,3.167,383.410004,,1177.359985,1631,9.3003,7728.17,5388.5,4.15,,3/26/2019 13:55,12/17/2019 10:00
5,1004.01,1004,238597883,238597883,1,,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,9.347,2458493.512,3.57491,2.576,500,4.75276,2929.87,2049,9.1355,356.437,9219,4.14,2.15,3/26/2019 13:55,5/20/2020 16:00
6,1005.01,1005,169904935,169904935,1,FP,08h02m49.15s,120.704811,-11d06m05.45s,-11.101513,-15.7,-34.7,2458492.555,4.55072,2.599,3620,6.54449,254.05,1112,9.085,119.097,5613,,1.09,3/26/2019 13:55,5/20/2020 16:00
7,1006.01,1006,156115721,156115721,1,,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,-6.8,2458493.677,2.50443,3.185,1250,6.08324,6874.38,2536,9.2386,,6616,,1.53,3/26/2019 13:55,5/20/2020 16:00
8,1007.01,1007,65212867,65212867.01,1,,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,3.399,2458492.041,6.99823,4.314,2820,15.5416,1414.33,1708,8.87759,283.291,6596,3.71,2.7,3/26/2019 13:55,5/20/2020 16:00
9,1008.01,1008,440801822,440801822,1,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.3,2458492.521,2.04936,2.234,249.5,1.71607,2107.050049,1887,8.9362,144.297,6858.5,4.2,0.99,3/26/2019 13:55,3/4/2020 12:58
10,1009.01,1009,107782586,107782586,1,,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,4.849,2458492.253,1.96022,1.611,1420,,15070.9,3086,8.4331,866.147,8868.7,,,3/26/2019 13:55,5/20/2020 16:00
11,101.01,101,231663901,231663901,1,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,-16.011,2458326.009,1.430401,1.638765,20452.53125,13.145008,1193.379517,1499.044067,12.4069,375.31,5600,4.48851,0.86,9/5/2018 18:34,3/4/2020 13:49
12,1010.01,1010,139853601,139853601,1,,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,4.502,2458492.258,0.68088,1.458,1580,,182419,5757,8.45086,485.122,9438,,,3/26/2019 13:55,5/20/2020 16:00
13,1011.01,1011,114018671,114018671,1,,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,-134.901,2458492.444,2.46992,2.151,200,1.33963,507.741,1322,8.2388,52.62,5413.7,4.46,0.94,3/26/2019 13:55,5/20/2020 16:00
14,1012.01,1012,427508467,427508467,1,,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,-0.029,2458492.104,0.88425,1.657,1760,16.5334,105841,5024,8.12718,295.959,8928,3.92,2.72,3/26/2019 13:55,5/20/2020 16:00
15,1013.01,1013,97700520,97700520.01,1,,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,7.061,2458494.368,5.4298,3.779,15610,,4847.57,2324,7.6095,510.295,8868.7,,,3/26/2019 13:55,5/20/2020 16:00
16,1014.01,1014,96246348,96246348.01,1,,06h54m14.78s,103.561604,-34d13m22.16s,-34.222821,-15.1,10,2458469.03,1.4094,0.882,2840,,2041.48,1872,7.538,169.205,9307,,,3/26/2019 13:55,5/20/2020 16:00
17,1015.01,1015,155044736,155044736,1,,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,-17.974,2458493.081,1.37259,1.794,730,18.1328,748.391,1457,10.7069,906.496,4897,,6.8,4/1/2019 16:51,5/20/2020 16:00
18,1016.01,1016,175310067,175310067,1,,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,11.614,2458502.264,12.70907,7.046,3940,19.5052,3840.6,2193,10.6257,368.646,7601,4.31,1.54,4/1/2019 16:52,5/20/2020 16:00
19,1017.01,1017,182943944,182943944,1,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,9.593,2458518.965,1.10422,2.37,14177.7002,21.0448,39459.30078,3926,10.6019,406.997,6995.200195,4.07,1.61,4/1/2019 16:52,12/17/2019 10:00
20,1018.01,1018,291555748,291555748,1,,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,11.56,2458492.781,4.95912,2.509,7440,22.9123,673.55,1419,10.6254,360.541,5889,3.86,2,4/1/2019 16:52,5/20/2020 16:00
21,1019.01,1019,341420329,341420329,1,,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,2.586,2458494.436,5.23416,3.544,22240,23.8497,1150.54,1622,10.6348,399.544,7645,4.3,1.56,4/1/2019 16:51,5/20/2020 16:00
22,102.01,102,149603524,149603524,1,KP,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,26.046,2458326.079,4.411943,3.776425,13979.92578,15.397243,586.130005,1370,9.7109,175.631,6280,4.32092,1.28,9/5/2018 18:34,12/17/2019 10:00
23,1020.01,1020,140706664,140706664,1,FP,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,4.328,2458521.291,3.28892,3.793,10518.90039,,29832.59961,3661,10.7173,906.827,8734.200195,4.1,,4/1/2019 16:52,3/4/2020 12:58
24,1021.01,1021,143994283,143994283,1,FP,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,-15.082,2458492.904,1.90879,1.909,618.481995,3.34688,985.807007,1561,10.5551,235.974,6022.600098,4.52,1.22,4/1/2019 16:51,3/4/2020 12:58
25,1022.01,1022,47384844,47384844.01,1,,10h51m51.58s,162.96491,-05d47m19.35s,-5.788708,-15.787,-11.849,2458547.448,3.09574,4.475,380,3.4262,18087.90039,3230,8.72924,120.666,6084,4.13,1.41,6/4/2019 14:32,12/19/2019 12:00
26,1023.01,1023,238374636,238374636,1,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,22.652,2458493.205,1.3238,3.162,3450,20.851601,13560.5,3006,9.697,316.398,5050.799805,3.56,3.37,6/11/2019 14:45,3/4/2020 12:58
27,1024.01,1024,141482386,141482386,1,,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,11.563,2458339.723,18.01633,2.479,610,21.4334,8.40651,474,10.0814,692.266,4709,,7.61,6/11/2019 14:45,5/20/2020 16:00
28,1025.01,1025,297967252,297967252,1,,09h30m05.08s,142.521159,-51d31m01.61s,-51.517114,-19.153,11.046,2458545.147,9.68337,2.353,3950,,921.226,1534,5.5324,129.838,8598.7,,,6/11/2019 14:44,5/20/2020 16:00
29,1026.01,1026,388624270,388624270,1,,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,-6.325,2458528.418,,7.841,8060,9.34144,,,9.9138,105.677,5690,4.58,0.85,6/11/2019 14:45,5/20/2020 16:00
30,1027.01,1027,20318757,20318757.01,1,,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2458547.164,3.28627,1.815,1480,3.01525,207.402,1057,10.2103,56.3449,4272,4.6,0.68,6/11/2019 14:45,5/20/2020 16:00
31,1028.01,1028,447283466,447283466,1,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,-33.906,2458544.481,1.01606,2.843,240,1.20704,2784.04,2023,7.9059,23.7748,4634,4.64,0.68,6/11/2019 14:45,5/20/2020 16:00
32,1029.01,1029,374908020,374908020,1,FP,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,,,2458365.893,36.222141,5.107,7170,,,,6.841,,,,,6/11/2019 14:45,3/4/2020 12:58
33,103.01,103,336732616,336732616,1,KP,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,15.62,2458327.253,3.547854,3.494333,10424.37207,14.581841,1212.004395,1504.859009,11.5232,411.211,6351,4.22896,1.4,9/5/2018 18:34,12/17/2019 10:00
34,1030.01,1030,464296022,464296022,1,FP,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,22.489,2458551.328,12.12369,4.849,6142.77002,9.25664,223.195007,1076,9.5706,78.41273,4807.600098,4.17,1.07,6/25/2019 15:58,3/4/2020 12:58
35,1031.01,1031,304021498,304021498,1,,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,3.03,2458547.382,5.65293,2.928,1180,6.71636,351.918,1206,9.7318,270.771,6415.4,3.98,1.92,6/25/2019 15:58,5/20/2020 16:00
36,1032.01,1032,146589986,146589986,1,,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,6.437,2458547.455,5.66314,3.748,3650,14.3662,3475.18,2139,9.7611,587.196,10395,4.13,2.34,6/11/2019 14:45,5/20/2020 16:00
37,1033.01,1033,149601557,149601557,1,,05h49m07.82s,87.282586,-60d29m54.4s,-60.498444,8.9,20.7,2458338.072,29.01628,6.015,1370,8.7812,155.613,,10.0163,219.94,6113.1,,2.01,6/11/2019 14:45,5/20/2020 16:00
38,1034.01,1034,400595342,400595342,1,,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,4.109,2458518.811,3.64222,2.757,510,3.65103,4432.06,2273,9.8174,363.44,9810,4.43,1.61,6/11/2019 14:44,5/20/2020 16:00
39,1035.01,1035,361413119,361413119,1,,09h36m36.07s,144.150273,-61d34m59.46s,-61.583182,-9.506,16.897,2458545.785,6.07484,2.324,5410,21.7247,351.181,1206,10.1126,347.556,5964,3.7,2.43,6/11/2019 14:45,5/20/2020 16:00
40,1036.01,1036,146172354,146172354,1,,10h31m28.11s,157.867112,-42d14m25.61s,-42.240448,10.992,-57.748,2458548.034,3.78031,3.188,2850,6.50939,682.071,1423,10.2855,184.015,5771,4.31,1.18,6/11/2019 14:45,5/20/2020 16:00
41,1037.01,1037,363260203,363260203,1,,09h49m32.44s,147.385172,-63d18m23.32s,-63.306478,-19.687,10.953,2458544.667,1.20262,1.915,370,3.289,14407.9,3052,9.0211,279.698,9158,4.32,1.74,6/11/2019 14:44,5/20/2020 16:00
42,1038.01,1038,90544017,90544017.01,1,FP,08h33m49.11s,128.454638,-49d56m25.25s,-49.940347,-15.5,7,2458519.045,3.22374,2.248,570,,4568.009766,2290,8.7157,280.765,8904,4.09,,6/11/2019 14:45,3/4/2020 12:58
43,1039.01,1039,461867584,461867584,1,,09h58m45.25s,149.688545,-58d45m37.63s,-58.760453,-6.434,4.098,2458546.053,4.42045,4.38,5980,,,,8.5483,2864.34,,,,6/25/2019 15:58,5/20/2020 16:00
44,104.01,104,231670397,231670397,1,KP,21h19m47.93s,319.949697,-58d08m56.16s,-58.148933,10.552,-10.658,2458327.673,4.087445,5.59014,3586.197021,12.652102,1672.217529,1630.958618,9.8638,316.678,6036,3.93359,2.07,9/5/2018 18:34,12/17/2019 10:00
45,1040.01,1040,310483807,310483807,1,FP,08h34m27.41s,128.61421,-61d29m17.74s,-61.488262,-11.78,6.725,2458520.657,2.55555,1.566,340,11.5901,3520.68,2145,8.3854,732.432,10037,,6.04,6/11/2019 14:45,5/20/2020 16:00
46,1041.01,1041,385624852,385624852,1,FP,09h13m36.54s,138.402252,-55d11m52.48s,-55.19791,-14.189,14.261,2458547.348,8.30792,3.228,8350,43.1068,2276.25,1924,8.0981,305.034,9081,3.83,3.05,6/11/2019 14:45,7/10/2020 12:00
47,1042.01,1042,360286627,360286627,1,,09h27m54.05s,141.975215,-61d19m48.14s,-61.33004,-11.595,3.139,2458544.455,0.7581,1.065,780,9.88225,14573,3060,9.718,792.633,9917,3.75,3.51,6/25/2019 15:58,6/11/2020 16:00
48,1043.01,1043,90448944,90448944.01,1,,08h33m12.56s,128.302319,-52d42m51.13s,-52.714202,-9.496,14.659,2458518.269,1.44095,2.107,490,3.47509,6265.36,2478,9.5719,208.055,6902,4.25,1.52,6/11/2019 14:45,5/20/2020 16:00
49,1044.01,1044,463402815,463402815,1,,10h15m14.65s,153.811027,-58d45m59.02s,-58.766394,-15.662,5.908,2458544.598,1.0086,1.597,2610,,8072.13,2640,9.81,502.5486,5215.2,,,6/25/2019 15:58,5/20/2020 16:00
50,1045.01,1045,54044474,54044474.01,1,FP,10h39m33.05s,159.887704,-32d30m42.77s,-32.51188,-34.609,14.667,2458545.922,3.70426,4.08,7440,16.7631,1813.75,1818,9.6306,300.696,7013.799805,4.21,1.84,6/11/2019 14:44,3/4/2020 12:58
51,1046.01,1046,309787037,309787037,1,,08h25m40.67s,126.419468,-60d54m27.05s,-60.907514,-1.536,-9.979,2458518.852,1.30427,1.607,950,4.89414,2608.14,1990,10.0119,301.298,6762,4.11,1.75,6/25/2019 15:58,5/20/2020 16:00
52,1047.01,1047,370745311,370745311,1,FP,09h38m19.57s,144.581535,-67d30m18.35s,-67.505097,-35.412,24.084,2458544.791,0.62627,0.666,1880,5.72162,3235.57,2101,10.2355,134.926,5622,4.5,0.93,6/25/2019 15:58,7/24/2020 12:00
53,1048.01,1048,384549882,384549882,1,FP,09h06m06.65s,136.527702,-54d54m14.12s,-54.903922,-10.863,7.063,2458518.376,0.30412,0.748,1330,10.417,280833,6413,8.802,440.426,11892,4.14,2.52,6/11/2019 14:45,6/15/2020 12:00
54,1049.01,1049,16288184,16288184.01,1,KP,16h55m04.52s,253.768848,-28d42m38.1s,-28.710584,-8.568,-5.562,2458626.801,2.180764,2.941969,18115.7832,21.029911,2947.071533,1879.175903,11.0657,314.995,6599,4.21017,1.52629,7/15/2019 19:20,12/17/2019 10:00
55,105.01,105,144065872,144065872,1,KP,22h29m49.88s,337.457824,-48d00m11.16s,-48.003099,91.976,-6.861,2458326.506,2.184659,2.869426,11836.69141,12.514586,985.883728,1429.144653,9.4995,137.544,5630,4.37759,1.13,9/5/2018 18:34,12/17/2019 10:00
56,1050.01,1050,66818296,66818296.01,1,KP,15h59m50.94s,239.962248,-28d03m42.46s,-28.061794,-8.1,-9.639,2458627.126,3.735285,4.295874,17207.56641,21.273773,1622.430908,1618.681152,11.0261,405.908,6650,4.1639,1.57,7/15/2019 19:20,12/17/2019 10:00
57,1051.01,1051,259863352,259863352,1,,02h41m27.83s,40.365939,-71d27m45.9s,-71.462749,168.17,-56.04,2458657.737,21.70167,8.267642,211.656738,2.375149,,,7.1278,53.19149,5625,4.438,1.56486,8/16/2019 20:20,12/17/2019 10:00
58,1052.01,1052,317060587,317060587,1,,22h30m02.47s,337.510274,-75d38m47.62s,-75.646561,-63.327,-1.942,2458332.941,9.139804,3.091294,358.415771,3.062985,243.011765,1006.534668,9.0197,129.804,5958.200195,4.34,1.58,8/16/2019 20:20,12/17/2019 10:00
59,1053.01,1053,112395568,112395568,1,FP,19h23m54.51s,290.977117,-33d21m05.1s,-33.351416,-18.692,-8.192,2458657.999,5.742625,2.860293,1105.760864,13.088532,,,8.8849,263.729,5664,3.26574,3.86959,8/16/2019 20:20,6/27/2020 12:00
60,1054.01,1054,366989877,366989877,1,,20h08m27.4s,302.114174,-54d19m03s,-54.317501,1.594,-15.903,2458664.973,15.50529,5.092786,623.092285,3.181526,,,8.4362,88.4343,6122,4.30881,1.24811,8/16/2019 20:20,12/17/2019 10:00
61,1055.01,1055,320004517,320004517,1,,19h33m08.79s,293.286615,-54d31m57.82s,-54.532728,108.439,-82.632,2458661.063,17.47114,4.319798,1258.553223,3.864567,,,8.0888,57.2651,5783.540039,4.49925,1.07824,8/16/2019 20:20,3/6/2020 12:00
62,1056.01,1056,421894914,421894914,1,,22h37m02.09s,339.258703,-76d55m03.38s,-76.917605,9.716,-20.168,2458326.071,5.307589,2.561828,387.441528,2.903689,480.103912,1193.889648,9.6663,168.354,6124.299805,4.38,1.3758,8/16/2019 20:20,12/17/2019 10:00
63,1057.01,1057,323132914,323132914,1,,08h31m59.26s,127.996917,-78d24m27.23s,-78.407564,117.721,-24.565,2458607.347,51.164822,6.254958,968.313416,3.031104,,,9.4091,98.2855,5599,4.46138,0.968952,8/16/2019 20:20,12/21/2019 12:00
64,1058.01,1058,31553893,31553893.01,1,,19h15m38.83s,288.911772,-31d47m26.93s,-31.790813,3.226,-16.323,2458663.023,11.112686,4.956529,793.967773,3.254684,,,9.3781,338.831,5785,4.344,1.13565,8/16/2019 20:20,12/17/2019 10:00
65,1059.01,1059,380783252,380783252,1,,17h58m51.48s,269.714503,-60d55m21.82s,-60.922727,4.297,-207.409,2458660.541,9.449544,2.171769,24877.55469,23.233707,,,9.7825,98.8783,5509,4.39758,1.03069,8/16/2019 20:20,12/17/2019 10:00
66,106.01,106,38846515,38846515.01,1,KP,04h35m50.36s,68.959816,-64d01m37.34s,-64.027039,10.845,-0.499,2458326.745,2.84938,3.776111,7452.432617,9.06138,1311.385376,1534.80188,10.3157,364.411,6900,4.438,1,9/5/2018 18:34,12/17/2019 10:00
67,1060.01,1060,101230735,101230735,1,,19h57m09.84s,299.290995,-48d56m04.11s,-48.934476,2.224,-14.604,2458653.966,2.068731,0.920059,545.986572,3.08866,,,9.6652,128.491,5687.899902,4.6,1.3001,8/16/2019 20:20,7/5/2020 12:00
68,1061.01,1061,253990973,253990973,1,FP,18h58m45.34s,284.688908,-41d14m32.94s,-41.242483,24.978,-71.79,2458654.253,0.540933,1.674337,257.347473,2.28501,,,9.7345,133.171,5525,4.25342,1.21935,8/16/2019 20:20,3/4/2020 12:58
69,1062.01,1062,299799658,299799658,1,,02h32m29.03s,38.120968,-78d01m25.26s,-78.023683,107.847,30.732,2458325.426,4.114982,1.283481,487.902985,2.31694,,,9.478,82.1733,5394,4.50942,0.891868,8/16/2019 20:20,5/12/2020 12:00
70,1063.01,1063,406976746,406976746,1,,15h22m13.32s,230.555493,-83d03m22.37s,-83.056214,-89.125,-9.6,2458629.395,10.065295,2.024974,788.713745,2.277837,67.054443,729.838257,9.0689,61.1201,5552,4.61783,0.804378,8/16/2019 20:20,2/14/2020 12:00
71,1064.01,1064,79748331,79748331.01,1,,19h44m00.94s,296.003935,-47d33m43.31s,-47.56203,-3.457,-100.891,2458656.67,6.441821,1.931294,1201.255127,2.742512,,,10.0059,68.0726,4803,4.52079,0.801468,8/16/2019 20:20,6/23/2020 12:00
72,1064.02,1064,79748331,79748331.02,2,,19h44m00.94s,296.003935,-47d33m43.31s,-47.56203,-3.457,-100.891,2458664.491,12.226323,2.222648,1288.839355,2.873919,,,10.0059,68.0726,4803,4.52079,0.801468,8/16/2019 20:20,3/6/2020 12:00
73,1065.01,1065,7088246,7088246.01,1,KP,19h05m28.02s,286.36675,-50d04m02.46s,-50.06735,7.315,-0.862,2458654.348,2.160344,1.828854,19357.99219,22.503542,,,13.2851,639.004,5780,4.32928,1.2,8/16/2019 20:20,12/17/2019 10:00
74,1066.01,1066,201604954,201604954,1,KP,19h00m23.16s,285.096517,-54d53m36.03s,-54.893341,3.99,-37.19,2458657.833,4.606184,3.121643,13793.03516,12.962219,,,11.9707,353.891,5670,4.3925,1.07,8/16/2019 20:20,12/17/2019 10:00
75,1067.01,1067,201642601,201642601,1,KP,19h14m41.28s,288.672005,-59d34m45.66s,-59.57935,3.125,6.146,2458656.99,3.131473,2.346091,15880.46387,12.352227,,,13.1686,263.609,4351,4.438,1,8/16/2019 20:20,3/4/2020 13:49
